player_id,community,size
1,0,1
2,1,93
3,1,93
4,1,93
5,2,1
6,3,37
7,1,93
8,4,41
9,1,93
10,5,1
11,6,61
12,6,61
13,7,72
14,8,61
15,4,41
16,7,72
17,9,46
18,3,37
19,8,61
20,8,61
21,10,1
22,11,1
23,4,41
24,7,72
25,7,72
26,1,93
27,1,93
28,7,72
29,7,72
30,12,1
31,13,1
32,7,72
33,7,72
34,14,1
35,7,72
36,8,61
37,15,1
38,1,93
39,8,61
40,8,61
41,16,1
42,17,1
43,18,1
44,4,41
45,7,72
46,19,1
47,4,41
48,7,72
49,4,41
50,8,61
51,20,1
52,8,61
53,4,41
54,4,41
55,21,1
56,7,72
57,1,93
58,22,1
59,23,44
60,24,1
61,7,72
62,25,1
63,9,46
64,26,1
65,27,1
66,28,1
67,7,72
68,29,16
69,9,46
70,6,61
71,6,61
72,30,1
73,7,72
74,6,61
75,31,1
76,32,1
77,33,1
78,1,93
79,23,44
80,8,61
81,1,93
82,23,44
83,6,61
84,1,93
85,29,16
86,1,93
87,34,1
88,9,46
89,6,61
90,36,1
91,9,46
92,37,1
93,38,1
94,3,37
95,7,72
96,23,44
97,39,1
98,40,1
99,1,93
100,7,72
101,1,93
102,41,1
103,42,1
104,1,93
105,43,1
106,9,46
107,44,1
108,7,72
109,29,16
110,45,1
111,1,93
112,46,1
113,8,61
114,47,1
115,48,1
116,23,44
117,1,93
118,49,1
119,50,1
120,8,61
121,9,46
122,3,37
123,1,93
124,7,72
125,51,1
126,1,93
127,52,1
128,53,1
129,8,61
130,54,1
131,3,37
132,55,1
133,56,1
134,57,1
135,8,61
136,8,61
137,1,93
138,9,46
139,7,72
140,58,1
141,59,1
142,8,61
143,60,1
144,8,61
145,8,61
146,8,61
147,61,1
148,8,61
149,9,46
150,62,1
151,23,44
152,29,16
153,63,1
154,9,46
155,1,93
156,64,1
157,1,93
158,65,1
159,29,16
160,7,72
161,66,1
162,1,93
163,3,37
164,67,1
165,68,1
166,23,44
167,4,41
168,3,37
169,23,44
170,69,1
171,7,72
172,1,93
173,70,1
174,9,46
175,23,44
176,71,1
177,8,61
178,72,6
179,23,44
180,1,93
181,7,72
182,1,93
183,23,44
184,8,61
185,1,93
186,23,44
187,73,1
188,74,2
189,8,61
190,7,72
191,7,72
192,7,72
193,75,1
194,4,41
195,23,44
196,76,1
197,77,1
198,7,72
199,23,44
200,78,1
201,4,41
202,79,1
203,80,1
204,81,1
205,23,44
206,82,1
207,4,41
208,8,61
209,4,41
210,4,41
211,4,41
212,83,1
213,7,72
214,84,1
215,85,1
216,7,72
217,6,61
218,6,61
219,23,44
220,1,93
221,86,1
222,6,61
223,87,1
224,7,72
225,7,72
226,8,61
227,7,72
228,1,93
229,7,72
230,1,93
231,6,61
232,6,61
233,8,61
234,88,1
235,6,61
236,6,61
237,89,1
238,3,37
239,8,61
240,7,72
241,6,61
242,6,61
243,90,1
244,7,72
245,72,6
246,91,1
247,3,37
248,3,37
249,92,1
250,7,72
251,9,46
252,1,93
253,93,1
254,94,1
255,8,61
256,95,1
257,9,46
258,7,72
259,29,16
260,72,6
261,96,1
262,97,1
263,1,93
264,98,1
265,23,44
266,99,1
267,1,93
268,1,93
269,7,72
270,1,93
271,100,1
272,101,1
273,102,1
274,103,1
275,8,61
276,7,72
277,8,61
278,1,93
279,104,1
280,9,46
281,105,1
282,1,93
283,106,1
284,8,61
285,3,37
286,7,72
287,29,16
288,107,1
289,3,37
290,23,44
291,8,61
292,1,93
293,1,93
294,29,16
295,1,93
296,108,1
297,109,1
298,1,93
299,110,1
300,1,93
301,1,93
302,7,72
303,111,1
304,6,61
305,1,93
306,8,61
307,9,46
308,112,1
309,8,61
310,8,61
311,113,1
312,7,72
313,4,41
314,1,93
315,114,1
316,7,72
317,9,46
318,115,1
319,7,72
320,1,93
321,6,61
322,3,37
323,1,93
324,1,93
325,3,37
326,1,93
327,1,93
328,3,37
329,4,41
330,116,1
331,1,93
332,7,72
333,23,44
334,23,44
335,8,61
336,6,61
337,7,72
338,1,93
339,3,37
340,9,46
341,7,72
342,9,46
343,23,44
344,117,1
345,9,46
346,9,46
347,9,46
348,7,72
349,1,93
350,9,46
351,8,61
352,23,44
353,7,72
354,1,93
355,8,61
356,1,93
357,118,1
358,23,44
359,119,1
360,23,44
361,9,46
362,1,93
363,23,44
364,29,16
365,23,44
366,6,61
367,120,1
368,1,93
369,6,61
370,121,1
371,122,1
372,7,72
373,123,1
374,74,2
375,1,93
376,23,44
377,7,72
378,7,72
379,124,1
380,6,61
381,7,72
382,23,44
383,6,61
384,125,1
385,4,41
386,1,93
387,23,44
388,3,37
389,9,46
390,9,46
391,23,44
392,3,37
393,126,1
394,4,41
395,4,41
396,29,16
397,127,1
398,29,16
399,29,16
400,128,1
401,4,41
402,4,41
403,9,46
404,8,61
405,9,46
406,129,1
407,130,1
408,72,6
409,4,41
410,7,72
411,131,1
412,132,1
413,9,46
414,133,1
415,3,37
416,9,46
